count,x1,y1,x2,y2
0,5466,5688,5454,5676
1,5530,5757,5619,5839
2,5649,5870,5480,5659
3,5626,5831,5655,5911
4,5638,5835,5625,5884
5,5869,6115,5660,5868
6,5617,5888,5802,6093
7,5837,6057,5933,6085
8,5833,6031,5854,6059
9,5921,6075,5861,6034
10,5892,6049,5882,6037
11,5887,5990,5879,6041
12,5874,6056,5867,6000
13,5887,6076,5949,6103
14,5686,5842,5701,5843
15,5613,5762,5603,5700
16,5683,5795,5634,5754
17,5778,5879,5625,5756
18,5619,5732,5631,5778
19,5610,5765,5721,5828
20,5666,5807,5694,5851
21,5713,5835,5728,5839
22,5657,5783,5779,5880
23,5779,5903,5749,5851
24,5772,5905,5760,5884
25,5685,5839,5674,5749
26,5728,5847,5752,5857
27,5797,5936,5728,5845
28,5864,5939,5808,5917
29,5828,5940,5741,5825
30,5799,5865,5718,5805
31,5744,5859,5750,5799
32,5637,5744,5680,5822
33,5687,5813,5696,5781
34,5701,5819,5659,5787
35,5632,5801,5702,5839
36,5687,5813,5671,5782
37,5708,5830,5661,5879
38,5721,5842,5684,5901
39,5699,5880,5680,5916
40,5753,5881,5740,5865
41,5725,5881,5688,5884
42,5678,5909,5723,5907
43,5739,5916,5713,5846
44,5669,5854,5686,5901
45,5702,5924,5678,5883
46,5649,5918,5651,5915
47,5625,5882,5664,5911
48,5666,5914,5650,5897
49,5665,5897,5594,5916
50,5615,5963,5640,5982
51,5633,5949,5619,5935
52,5768,6108,5619,5927
53,5662,5975,5698,6007
54,5659,6004,5620,5957
55,5679,6080,5626,5989
56,5653,5948,5629,6016
57,5607,5984,5641,5997
58,5637,5991,5667,5962
59,5646,5995,5637,5978
60,5676,6017,5646,5995
61,5607,5999,5575,6028
62,5555,5979,5585,5990
63,5625,5999,5589,6021
64,5622,5998,5591,6030
65,5623,6029,5589,6031
66,5555,6003,5591,6018
67,5575,5979,5561,5983
68,5568,6009,5571,5990
69,5544,5985,5575,5984
70,5584,5996,5605,6029
71,5559,5978,5572,5966
72,5572,5947,5590,6038
73,5567,6004,5630,6041
74,5547,5970,5556,5972
75,5538,5965,5578,6007
76,5558,5954,5538,5977
77,5673,6105,5654,6092
78,5630,6045,5532,5985
79,5529,5979,5497,5951
80,5434,5924,5441,5922
81,5441,5922,5411,5858
82,5444,5913,5426,5879
83,5539,5961,5461,5862
84,5457,5855,5441,5825
85,5459,5830,5408,5811
86,5467,5862,5418,5815
87,5576,5970,5582,5934
88,5556,5959,5543,5954
