count,x1,y1,x2,y2
0,12065,-1400,11883,-1379
1,9152,-2513,9919,-825
2,11411,-1122,10078,-2233
3,10078,-2233,9360,-2380
4,13259,-678,12320,-1686
5,9453,-2553,9220,-2386
6,10513,-1726,13939,-1233
7,11883,-1553,11876,-508
8,11876,-1523,12145,-1770
9,12145,-1770,11484,-1366
10,13051,-370,10124,-1986
11,10770,-1387,9553,-2352
12,13260,-205,11411,-479
13,9518,1909,9039,-1211
14,10919,-1768,9678,-1865
15,9843,-871,12389,-1544
16,12389,-1544,13336,-898
17,10655,-1673,9982,-1179
18,9982,-1179,12068,-1351
19,12068,-1351,9485,1853
20,9485,1853,0,0
21,12921,32,12178,-398
22,9856,-1521,11747,-1532
23,9235,-2557,10043,-2352
24,9589,-2709,9491,-1780
25,9815,-2174,9039,-819
26,10913,-2642,9739,-2024
27,9420,-1587,11731,-939
28,12156,-1048,9687,-2427
29,12106,-1560,9209,-2762
30,10601,-1704,12373,-745
31,9795,-2612,9631,-2364
32,11218,-1543,9701,-1394
33,9904,-1622,10063,-2279
34,11925,-1360,12565,-1346
35,9198,-2451,9714,-1684
36,9175,-2634,10751,-1851
37,12733,-1888,9817,-2393
38,11101,-3068,9437,-1711
39,13033,-602,11935,-1595
40,9806,-2855,9725,-1975
41,11919,-982,10048,-2154
42,9873,-2458,9430,-2928
43,9691,-2922,9334,-2674
44,9576,-2580,13070,-447
45,9951,-2405,9233,-1059
46,12496,-1522,10209,-2418
47,12230,-1861,11871,-1586
48,9898,-2455,11445,-1886
49,9243,-2546,9688,-2520
50,10503,-1652,10919,-1766
51,9406,-2486,9285,-2329
52,9341,-2457,11669,-1561
53,9865,-2365,9581,-1180
54,9816,-1645,9044,-795
55,10142,-1860,9607,-2631
56,9865,-994,10067,-1194
57,13145,-312,13655,-141
58,12003,-1554,9777,-2157
59,9595,-1922,9444,-2603
60,13027,-2114,9946,-2208
61,11809,-1619,9472,-2333
62,9804,-2614,9656,-2594
63,9865,-994,13405,-754
64,9749,-2531,10872,-1963
65,9888,-2402,12842,-859
66,9718,-2310,11454,-1338
67,13013,-199,9060,-2125
68,10562,-1892,12458,-1705
69,9458,-2231,9527,-2389
70,12655,-787,12073,-1574
71,12967,-85,9521,-1820
72,9961,-2041,12032,-1441
73,10913,-2642,9466,-1423
74,13033,-602,10175,-1911
75,12056,-1549,9543,-2517
76,12918,-1429,11767,120
77,9423,-2764,12429,-1433
78,9806,-2855,9996,-2164
79,9901,-1977,10140,-2508
80,9297,-2758,9471,-2875
81,10258,-1030,9502,-1101
82,9546,-1028,9230,-2816
83,11779,-1350,8875,-2092
84,8954,-2697,9716,-2018
85,9731,-1329,9316,-2433
86,13748,-268,9739,-841
87,13880,-230,10555,-1566
88,9031,-1881,13211,-855
89,9620,-1724,9562,-2642
90,11893,-1437,13969,-660
91,12082,-1526,11970,-1041
92,12829,-257,9049,-2736
93,8928,-2685,9698,-2382
94,9698,-2382,10125,-1427
95,11968,-1596,9436,-2703
96,12689,-1346,12751,335
97,11531,-1613,9712,-1027
98,8951,-2694,13085,-467
99,9630,-1921,8896,-2378
100,9606,-2497,9706,-2541
101,9606,-2497,10723,-1625
102,11786,-1547,13137,-806
103,9723,-2567,9564,-1605
104,9567,-1692,9602,-723
105,12970,-749,11913,-1689
106,12020,-1452,9286,-2654
107,11839,-1565,9690,-2402
108,10493,-1660,11432,-1275
109,9915,-1843,11820,-1668
110,12920,-698,10044,-2712
111,9649,-1382,9050,-2559
112,12504,-1131,9423,-2660
113,9560,-2662,11691,-1073
114,12103,-1887,11794,-1244
115,10810,-1745,9509,-2396
116,12058,-1438,9535,-2371
117,12027,-1720,11875,-2007
118,12195,-1337,9424,-2650
119,9979,-884,12987,-1553
120,10562,-2239,12201,-1418
121,10802,-1377,9314,-2023
122,12357,-1402,13480,-671
123,12102,-1613,9765,-769
124,9183,-2712,9858,-1191
125,9404,-2526,11599,27
126,9736,-2088,9355,-1958
127,12601,-1169,9632,-2347
128,11408,195,11959,-1480
129,11941,-1309,9593,-1488
130,9597,-2222,9866,-1865
131,11842,-1529,11824,-1512
132,10002,-1683,9379,-2222
133,9651,-2539,9694,-2672
134,9556,-2528,9220,-2386
135,12110,-1669,12291,-1515
136,9948,-2560,11527,-1834
137,9364,-2488,13490,-195
138,9724,-2192,9435,-2636
139,11769,-1701,13061,-784
140,10420,-2137,9436,-2384
141,10712,-1872,9216,-2527
142,9641,-2069,11171,-2771
143,9545,-2096,12106,-1497
144,9387,-2572,10126,-2037
145,9502,-2278,9437,-1846
146,9633,-804,12591,-1103
147,11830,-1344,12180,-1735
148,11786,-1547,9831,-908
149,8980,-2553,12159,-1396
150,10548,-1363,14104,128
151,9284,-2315,9219,-2415
152,9922,-1639,12057,-1531
153,9337,-2505,10712,-1608
154,13093,-341,9954,-1854
155,12111,-1698,13212,-740
156,10231,-840,13168,-2138
157,12902,-1261,9571,-2583
158,10987,-1976,9300,-2525
159,12884,-1819,9776,-1543
160,13880,-230,13054,-700
161,13151,-1175,12673,-1841
162,9937,-556,9879,-2297
163,9893,-1665,13775,-2031
164,13775,-2031,9835,-2576
165,9226,-1137,9789,-2647
166,12212,-1701,11917,-1221
167,11745,-1570,9932,-919
168,9428,-2719,8230,-2463
169,13294,-779,12434,-1104
170,10415,-2600,9186,-2311
171,11890,-1517,9705,-1624
172,12272,-1543,11266,-956
173,9306,-2084,9839,-2665
174,9524,-2024,8225,-1742
175,12317,-1459,12086,-1909
176,9681,-2369,13203,-1342
