count,x1,y1,x2,y2
0,1452,766,1393,1308
1,1453,785,1422,1291
2,1437,788,1421,1276
3,1473,778,1427,1267
4,1468,738,1424,1261
5,1468,758,1431,1269
6,1478,774,1437,1270
7,1446,755,1400,1312
8,1470,754,1403,1277
9,1463,781,1401,1278
10,1444,758,1415,1271
11,1442,758,1409,1255
12,1473,767,1437,1259
13,1463,736,1418,1271
14,1481,780,1420,1273
15,1468,755,1427,1287
16,1463,771,1419,1273
17,1443,776,1405,1285
18,1480,760,1409,1278
19,1448,769,1423,1284
20,1459,764,1394,1272
21,1427,785,1428,1253
22,1452,782,1415,1275
23,1468,766,1409,1273
24,1462,758,1409,1295
25,1461,761,1389,1292
26,1437,782,1419,1258
27,1465,774,1426,1267
28,1480,759,1440,1250
29,1464,786,1407,1276
30,1441,769,1436,1282
31,1415,767,1437,1275
32,1441,789,1440,1258
33,1419,771,1418,1268
34,1460,767,1424,1273
35,1445,760,1436,1274
36,1436,785,1394,1288
37,1474,776,1384,1289
38,1463,783,1422,1263
39,1466,768,1418,1252
40,1433,776,1399,1290
41,1449,790,1419,1267
42,1479,742,1440,1255
43,1509,761,1400,1270
44,1479,775,1410,1277
45,1474,784,1430,1290
46,1448,779,1397,1278
47,1460,793,1413,1269
48,1479,762,1406,1255
49,1461,782,1405,1267
50,1485,748,1416,1272
51,1460,796,1400,1287
52,1455,785,1398,1261
53,1452,807,1428,1275
54,1469,785,1419,1263
55,1459,764,1433,1268
56,1471,761,1366,1276
57,1457,786,1416,1271
58,1464,776,1429,1276
59,1489,787,1400,1265
60,1478,774,1436,1272
61,1452,773,1431,1265
62,1466,778,1442,1257
63,1453,786,1408,1278
64,1462,787,1426,1265
65,1477,776,1443,1245
66,1439,778,1404,1293
67,1459,780,1425,1288
68,1431,787,1429,1249
69,1432,767,1405,1284
70,1463,770,1418,1286
71,1467,774,1426,1261
72,1455,791,1391,1272
73,1451,772,1428,1272
74,1459,764,1436,1249
75,1459,778,1389,1295
76,1476,773,1418,1266
77,1470,766,1412,1261
78,1475,767,1396,1294
79,1481,769,1403,1259
80,1478,786,1422,1254
81,1469,763,1414,1279
82,1448,780,1434,1271
83,1436,768,1412,1283
84,1472,782,1420,1251
85,1455,781,1408,1291
86,1453,790,1403,1289
87,1456,754,1424,1282
88,1463,771,1408,1292
89,1459,765,1401,1276
90,1433,800,1430,1273
91,1459,754,1425,1264
92,1455,744,1425,1267
93,1459,777,1392,1273
94,1426,776,1445,1265
95,1454,799,1420,1268
96,1455,777,1424,1265
97,1479,773,1423,1288
98,1441,773,1418,1286
99,1487,762,1412,1281
100,1454,756,1413,1277
101,1474,786,1456,1252
102,1469,796,1417,1261
103,1454,770,1413,1256
104,1452,770,1415,1260
105,1437,808,1393,1277
106,1453,788,1420,1251
107,1471,773,1454,1261
108,1482,776,1427,1265
109,1462,792,1396,1279
110,1461,779,1416,1245
111,1466,787,1428,1275
112,1476,790,1402,1272
113,1464,792,1423,1282
114,1470,767,1426,1285
115,1482,762,1420,1286
116,1469,792,1416,1279
117,1477,785,1422,1281
118,1431,786,1435,1261
119,1460,756,1409,1266
120,1487,750,1412,1274
121,1450,797,1390,1270
122,1453,773,1399,1268
123,1453,747,1415,1278
124,1460,774,1403,1272
125,1443,795,1435,1260
126,1442,778,1410,1265
127,1467,761,1443,1259
128,1464,757,1409,1268
129,1468,741,1395,1254
130,1464,785,1421,1270
131,1483,774,1400,1260
132,1479,765,1405,1262
133,1468,769,1429,1267
134,1442,796,1425,1280
135,1470,782,1392,1256
136,1471,776,1407,1255
137,1470,761,1397,1251
138,1457,773,1397,1267
139,1466,761,1422,1267
140,1439,759,1413,1294
141,1466,771,1390,1270
142,1450,766,1421,1260
143,1442,758,1379,1261
144,1439,745,1411,1241
145,1457,748,1402,1283
146,1457,752,1401,1283
147,1477,762,1433,1233
148,1453,771,1418,1267
149,1449,791,1414,1265
150,1472,753,1398,1278
151,1468,773,1411,1236
152,1467,786,1415,1251
153,1475,755,1383,1265
154,1470,768,1419,1234
155,1446,774,1406,1273
156,1456,775,1378,1253
157,1460,760,1407,1235
158,1466,769,1391,1274
159,1489,765,1401,1253
160,1464,768,1371,1280
161,1465,792,1408,1276
162,1477,779,1437,1266
163,1480,778,1424,1291
164,1449,773,1444,1258
165,1496,787,1407,1233
166,1474,804,1415,1237
167,1454,789,1405,1239
168,1455,780,1405,1239
169,1473,756,1405,1248
170,1442,769,1408,1251
171,1457,778,1405,1258
172,1461,792,1386,1261
