count,x1,y1,x2,y2
0,1745,2342,728,1878
1,1753,2374,927,1957
2,2041,2742,843,2037
3,1862,2763,899,1966
4,1538,2678,1028,1715
5,1910,2496,1069,1682
6,1772,2515,1174,1602
7,1805,2554,1297,1523
8,1848,2595,1219,1355
9,1745,2667,1524,1510
10,1722,2627,1360,1688
11,1889,2832,1440,1546
12,1217,2574,1477,1501
13,1128,2560,1553,1476
14,1098,2486,1174,1690
15,1163,2432,1254,1615
16,1123,2387,1212,1385
17,1053,2401,1180,1203
18,956,2340,1488,1525
19,976,2296,2116,1549
20,986,2246,1825,1455
21,946,2205,1790,1555
22,1024,2190,1874,1571
23,957,2034,1894,1728
24,920,1945,1956,1782
25,961,1884,1774,1936
26,1004,1856,1752,2078
27,1072,1812,2188,2207
28,1107,1739,1992,2367
29,1048,1629,2143,2258
30,1334,1665,2050,2201
31,958,1613,2049,2436
32,1152,1819,1982,2600
33,1439,1696,1982,2488
34,1443,1723,1913,2636
35,1369,1427,1571,2524
36,1390,1484,1741,2616
37,1525,1529,1878,2715
38,1668,1512,1616,2663
39,1684,1641,1584,2565
40,1837,1693,1171,2615
41,1912,1791,1047,2564
42,1889,1899,1051,2470
43,2012,1986,1025,2370
44,2094,2082,1041,2264
45,2113,2230,1022,2191
46,1935,2197,1012,2165
47,1977,2319,532,1812
48,1621,2236,923,2033
49,1573,2306,628,1807
50,1651,2509,735,1744
51,1858,2540,737,1715
52,1683,2499,757,1613
53,1644,2404,768,1605
54,1522,2339,1302,1583
55,1022,2534,1391,1436
56,1060,2409,1199,1508
57,1116,2322,1094,1104
58,1039,2269,1548,1379
59,1055,2247,1574,1348
60,1049,2185,1791,1415
61,1056,2068,1856,1504
62,917,1924,1905,1620
63,969,1809,1953,1671
64,1012,1758,1947,1752
65,971,1715,1802,1937
66,1018,1625,2126,2235
67,1025,1520,2252,2127
68,1323,1522,2110,2246
69,1081,1628,1903,2266
70,1432,1645,2126,2605
71,1520,1608,2011,2572
72,1641,1635,1900,2647
73,1369,1544,1488,2540
74,1728,1504,1670,2689
75,1790,1657,1621,2772
76,1775,1721,1150,2635
77,1786,1814,651,2935
78,1834,1959,1127,2648
79,2000,2112,1064,2544
80,1743,2013,946,2425
81,1838,2210,934,2276
82,1942,2354,937,2252
83,1696,2249,1089,2323
84,1714,2421,889,1960
85,1507,2422,450,1861
86,1850,2659,773,1851
87,1833,2652,1147,1411
88,1716,2486,1275,1309
89,1699,2550,1673,1653
90,1185,2562,1448,1442
91,1176,2476,1120,1524
92,1195,2322,1391,1442
93,1185,2317,1515,1397
94,1095,2273,1687,1251
95,1128,2171,1773,1361
96,1046,2087,1924,1482
97,1013,1946,1984,1527
98,983,1871,1957,1639
99,1047,1794,1706,1824
100,1130,1728,1636,1899
101,1060,1657,2214,2151
102,1107,1549,2320,2181
103,1413,1703,2316,2288
104,692,1566,1815,2273
105,1229,1812,1965,2462
106,1399,1663,1987,2597
107,1539,1626,1582,2569
108,1373,1634,1542,2597
109,1616,1637,1789,2698
110,1733,1610,1646,2796
111,1804,1752,1460,2653
112,1846,1814,696,2775
113,1964,1926,1018,2612
114,2006,2070,1083,2534
115,2018,2144,995,2439
