count,x1,y1,x2,y2
0,1273,951,1441,1311
1,1303,967,1423,1318
2,1281,918,1472,1304
3,1300,949,1465,1314
4,1288,925,1421,1280
5,1269,947,1455,1305
6,1296,934,1442,1324
7,1298,953,1444,1305
8,1264,957,1445,1286
9,1231,930,1467,1306
10,1297,943,1456,1284
11,1291,953,1417,1254
12,1288,937,1447,1293
13,1299,946,1460,1320
14,1286,962,1412,1294
15,1247,943,1438,1308
16,1268,957,1439,1308
17,1277,918,1478,1288
18,1268,953,1479,1284
19,1269,976,1455,1317
20,1312,975,1457,1312
21,1269,919,1460,1295
22,1295,951,1422,1293
23,1286,940,1418,1329
24,1281,936,1454,1285
25,1281,955,1455,1313
26,1280,942,1443,1302
27,1253,929,1465,1333
28,1320,976,1418,1284
29,1269,936,1425,1287
30,1277,958,1444,1306
31,1269,959,1445,1324
32,1309,940,1463,1297
33,1289,956,1445,1289
34,1275,917,1457,1330
35,1295,954,1481,1314
36,1291,952,1450,1284
37,1284,946,1463,1308
38,1277,937,1465,1316
39,1273,932,1470,1325
40,1286,934,1457,1336
41,1284,948,1465,1298
42,1298,944,1439,1289
43,1282,956,1462,1284
44,1293,961,1453,1313
45,1271,958,1471,1310
46,1259,970,1463,1282
47,1285,946,1413,1307
48,1295,987,1455,1313
49,1256,951,1446,1302
50,1266,964,1469,1279
51,1291,955,1437,1300
52,1257,958,1429,1281
53,1308,935,1456,1277
54,1271,944,1398,1292
55,1256,957,1424,1258
56,1282,930,1443,1303
57,1271,935,1481,1300
58,1281,960,1454,1297
59,1270,948,1443,1294
60,1269,930,1426,1273
61,1270,921,1437,1308
62,1258,928,1440,1281
63,1256,944,1445,1291
64,1314,971,1450,1275
65,1299,970,1432,1270
66,1264,927,1470,1307
67,1294,960,1442,1280
68,1273,947,1456,1270
69,1297,937,1404,1270
70,1262,968,1434,1266
71,1280,940,1420,1278
72,1295,973,1459,1288
73,1285,996,1445,1245
74,1270,945,1435,1290
75,1277,956,1465,1274
76,1312,982,1467,1285
77,1287,966,1432,1295
78,1280,967,1457,1294
79,1282,939,1445,1287
80,1306,964,1456,1308
81,1270,938,1456,1289
82,1262,940,1431,1317
83,1258,968,1435,1284
84,1302,937,1462,1281
85,1296,932,1440,1269
86,1267,957,1447,1305
87,1290,946,1436,1313
88,1298,947,1478,1291
89,1272,943,1444,1265
90,1307,938,1439,1273
91,1291,947,1427,1282
92,1290,937,1429,1290
93,1273,947,1448,1327
94,1284,971,1458,1292
95,1271,958,1433,1307
96,1308,951,1442,1307
97,1289,956,1476,1294
98,1261,927,1468,1282
99,1271,917,1465,1298
100,1265,947,1458,1301
101,1268,939,1425,1288
102,1294,970,1461,1311
103,1282,963,1430,1272
104,1282,916,1446,1297
105,1269,956,1490,1296
106,1272,934,1427,1284
107,1265,940,1455,1245
108,1271,942,1423,1288
109,1292,941,1465,1296
110,1274,971,1423,1302
111,1269,983,1405,1272
112,1267,953,1434,1276
113,1282,949,1431,1286
114,1275,958,1433,1305
115,1277,946,1448,1299
116,1280,935,1462,1319
117,1275,954,1458,1312
118,1300,966,1442,1259
119,1273,954,1460,1288
120,1248,948,1469,1302
121,1262,959,1433,1307
122,1264,961,1441,1282
123,1277,958,1458,1328
124,1268,933,1450,1293
125,1290,931,1432,1282
126,1274,927,1480,1311
127,1268,953,1476,1328
128,1275,923,1466,1325
129,1272,960,1447,1302
130,1291,954,1444,1299
131,1270,961,1442,1315
132,1272,929,1480,1291
133,1301,955,1476,1296
134,1300,924,1466,1327
135,1266,935,1440,1299
136,1264,976,1421,1302
137,1276,935,1447,1292
138,1300,954,1458,1273
139,1258,951,1420,1292
140,1312,929,1462,1263
141,1264,966,1469,1277
142,1290,955,1429,1316
143,1246,959,1419,1302
144,1288,935,1447,1343
145,1306,955,1441,1284
146,1281,954,1459,1317
147,1300,979,1459,1337
148,1276,943,1420,1301
149,1277,961,1435,1293
150,1271,937,1444,1305
151,1274,934,1433,1263
152,1293,962,1433,1267
153,1282,960,1476,1325
154,1296,961,1441,1287
155,1301,969,1455,1288
156,1287,938,1457,1314
157,1284,975,1437,1289
158,1277,962,1436,1278
159,1285,965,1470,1296
160,1280,936,1465,1303
161,1290,950,1452,1303
162,1283,966,1414,1271
163,1290,938,1454,1290
164,1301,972,1419,1265
165,1281,945,1430,1295
166,1328,960,1418,1278
167,1276,966,1399,1283
168,1291,965,1412,1288
169,1279,962,1462,1293
